epoch,accuracy,dice_coef,loss,lr,mean_io_u_5,precision,sensitivity,specificity,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_5,val_precision,val_sensitivity,val_specificity
0,0.9422333836555481,0.3795623779296875,0.6382071375846863,1e-04,0.7177567481994629,0.9505537152290344,0.922825276851654,0.9872854948043823,0.9690954089164734,0.5016341209411621,0.5118036866188049,0.9038827419281006,0.970500111579895,0.9673035144805908,0.9901601672172546
1,0.9688878059387207,0.5526919960975647,0.46203529834747314,1e-04,0.7971808910369873,0.9700009822845459,0.9672176837921143,0.990013599395752,0.9782456159591675,0.6097316741943359,0.40061065554618835,0.9247475862503052,0.9782601594924927,0.977615475654602,0.9927558898925781
2,0.9763766527175903,0.6282861828804016,0.3878263235092163,1e-04,0.8209924101829529,0.976285457611084,0.9757112264633179,0.9920997619628906,0.9834475517272949,0.6633142232894897,0.35959115624427795,0.8985662460327148,0.9832544326782227,0.9829370975494385,0.9944205284118652
3,0.9801318645477295,0.6539920568466187,0.36273708939552307,1e-04,0.8653550744056702,0.9799454808235168,0.9796066284179688,0.9933187961578369,0.9841878414154053,0.6822933554649353,0.36140915751457214,0.9048054218292236,0.9839045405387878,0.9837979078292847,0.9946381449699402
4,0.9805999994277954,0.668718695640564,0.34797245264053345,1e-04,0.8817403316497803,0.980397641658783,0.9801081418991089,0.9934676289558411,0.9797020554542542,0.6847642660140991,0.34399306774139404,0.8370699882507324,0.9794415235519409,0.9793052673339844,0.9931491613388062
5,0.9820290803909302,0.6893208622932434,0.33427730202674866,1e-04,0.9097293615341187,0.9818184971809387,0.9816206693649292,0.9939409494400024,0.9593102931976318,0.6150612235069275,0.39890056848526,0.8426353931427002,0.9591654539108276,0.9589248895645142,0.9863973259925842
6,0.9829744696617126,0.6962000727653503,0.3251279592514038,1e-04,0.8968585133552551,0.9827414155006409,0.9825701117515564,0.9942479729652405,0.9855679869651794,0.7039830684661865,0.3266936242580414,0.9351598620414734,0.9853309392929077,0.9852247834205627,0.995110273361206
7,0.9857847094535828,0.7160777449607849,0.31573382019996643,1e-04,0.9111754894256592,0.9855165481567383,0.9854104518890381,0.995172917842865,0.9864428639411926,0.7457557916641235,0.333809494972229,0.9455682039260864,0.9862017035484314,0.9861918091773987,0.9954031109809875
8,0.9866031408309937,0.7347033023834229,0.30134180188179016,1e-04,0.9252012372016907,0.9863455295562744,0.9862605333328247,0.9954477548599243,0.9830185174942017,0.7207799553871155,0.3330993056297302,0.9295904636383057,0.9827868342399597,0.9827503561973572,0.9942646622657776
9,0.9880728721618652,0.7553876638412476,0.2904917895793915,2e-05,0.9457898139953613,0.9878098368644714,0.9877691268920898,0.9959383010864258,0.9882851839065552,0.7782212495803833,0.27877411246299744,0.9716060161590576,0.9880518913269043,0.9880530834197998,0.9960185885429382
10,0.9886475205421448,0.7928374409675598,0.2401971071958542,2e-05,0.9686027765274048,0.9884083271026611,0.988408088684082,0.9961376190185547,0.9881913661956787,0.7876131534576416,0.24722978472709656,0.9607579112052917,0.9879484176635742,0.9879641532897949,0.9959840774536133
11,0.9892754554748535,0.805350124835968,0.21467193961143494,2e-05,0.9576585292816162,0.9889946579933167,0.9889959096908569,0.9963324069976807,0.9893300533294678,0.7961777448654175,0.22347573935985565,0.9629282355308533,0.9890690445899963,0.9890793561935425,0.9963592886924744
12,0.989116370677948,0.8051490783691406,0.2132883071899414,2e-05,0.9577986001968384,0.9888297319412231,0.9888383746147156,0.9962784647941589,0.989125669002533,0.7938728332519531,0.2292352020740509,0.9602789878845215,0.9888826608657837,0.9888896346092224,0.9962959885597229
13,0.9889674782752991,0.8021036386489868,0.21786776185035706,2e-05,0.9487124681472778,0.9886909127235413,0.9887022972106934,0.996230959892273,0.9885711073875427,0.788255512714386,0.22932372987270355,0.9388265609741211,0.988265872001648,0.9882820248603821,0.9960890412330627
